許可證字號,形狀,顏色
衛署藥輸字第025001號,橢圓形,橘
衛署藥輸字第025005號,橢圓形,白
衛署藥輸字第025016號,圓形,藍
衛署藥輸字第025021號,圓形,白
衛署藥輸字第025026號,膠囊,橘
衛署藥輸字第025034號,圓形,粉
衛署藥輸字第025041號,橢圓形,粉
衛署藥輸字第025043號,橢圓形,粉
衛署藥輸字第025046號,橢圓形,白
衛署藥輸字第025071號,圓形,白
衛署藥輸字第025072號,橢圓形,黃
衛署藥輸字第025076號,圓形,白
衛署藥輸字第025077號,圓形,白
衛署藥輸字第025093號,四邊形,白
衛署藥輸字第025099號,圓形,黃;;;黃
衛署藥輸字第025106號,圓形,白
衛署藥輸字第025118號,橢圓形,粉
衛署藥輸字第025119號,四邊形,棕
衛署藥輸字第025120號,橢圓形,紅
衛署藥輸字第025129號,圓形,粉;;;粉
衛署藥輸字第025158號,四邊形,粉
衛署藥輸字第025160號,圓形,白
衛署藥輸字第025165號,四邊形,白
衛署藥輸字第025178號,圓形,白
衛署藥輸字第025209號,圓形,黃
衛署藥輸字第025214號,膠囊,白;;;白
衛署藥輸字第025215號,膠囊,藍;;;白
衛署藥輸字第025216號,膠囊,藍綠;;;黃
衛署藥輸字第025217號,膠囊,白;;;白
衛署藥輸字第025220號,圓形,黃
衛署藥輸字第025221號,圓形,粉
衛署藥輸字第025224號,橢圓形,白
衛署藥輸字第025229號,橢圓形,白
衛署藥輸字第025231號,橢圓形,白
衛署藥輸字第025240號,膠囊,粉
衛署藥輸字第025242號,膠囊,橘;;;白
衛署藥輸字第025243號,膠囊,白;;;白
衛署藥輸字第025253號,圓形,白
衛署藥輸字第025258號,圓形,白
衛署藥輸字第025260號,橢圓形,白
衛署藥輸字第025263號,膠囊,橘
衛署藥輸字第025265號,橢圓形,白
衛署藥輸字第025266號,橢圓形,白
衛署藥輸字第025270號,膠囊,白
衛署藥輸字第025272號,圓形,白
衛署藥輸字第025285號,膠囊,黃;;;灰
衛署藥輸字第025296號,三角形,藍
衛署藥輸字第025297號,四邊形,白
衛署藥輸字第025306號,圓形,白
衛署藥輸字第025316號,,
衛署藥輸字第025317號,膠囊,紅;;;紅
衛署藥輸字第025326號,橢圓形,粉
衛署藥輸字第025332號,膠囊,棕;;;白
衛署藥輸字第025333號,膠囊,白;;;白
衛署藥輸字第025335號,膠囊,棕;;;棕
衛署藥輸字第025339號,膠囊,藍綠
衛署藥輸字第025342號,四邊形,白
衛署藥輸字第025350號,圓形,粉
